Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
CONCOR,NSE:CONCOR,WEEKLY,260w,467.0,465.7,0.28,19912.8,26-01-2026,469.6,140,5
CONCOR,NSE:CONCOR,WEEKLY,104w,467.0,465.7,0.28,19912.8,26-01-2026,469.6,140,5
CONCOR,NSE:CONCOR,WEEKLY,208w,467.0,465.7,0.28,19912.8,26-01-2026,469.6,140,5
CONCOR,NSE:CONCOR,WEEKLY,156w,467.0,465.7,0.28,19912.8,26-01-2026,469.6,140,5
POONAWALLA,NSE:POONAWALLA,WEEKLY,52w,405.25,403.25,0.49,18026.5,26-01-2026,373.05,140,5
PPLPHARMA,NSE:PPLPHARMA,WEEKLY,208w,163.35,160.27,1.92,17936.2,27-03-2023,61.54,1176,9
PPLPHARMA,NSE:PPLPHARMA,WEEKLY,260w,163.35,160.27,1.92,17936.2,27-03-2023,61.54,1176,9
SUNDARMFIN,NSE:SUNDARMFIN,WEEKLY,104w,4475.5,4460.39,0.34,16301.7,12-08-2024,3695.46,672,6
LICHSGFIN,NSE:LICHSGFIN,WEEKLY,104w,551.05,540.53,1.95,15168.6,03-03-2025,475.33,469,23
JSL,NSE:JSL,WEEKLY,52w,727.9,726.57,0.18,13783.7,28-07-2025,650.51,322,4
MANINFRA,NSE:MANINFRA,WEEKLY,104w,106.21,106.17,0.04,13386.5,26-01-2026,98.4,140,5
MANINFRA,NSE:MANINFRA,WEEKLY,156w,106.21,106.17,0.04,13386.5,26-01-2026,98.4,140,5
MANINFRA,NSE:MANINFRA,WEEKLY,52w,106.21,106.17,0.04,13386.5,26-01-2026,98.4,140,5
TECHNOE,NSE:TECHNOE,WEEKLY,52w,1085.0,1066.64,1.72,13131.1,26-01-2026,870.0,140,2
GHCL,NSE:GHCL,WEEKLY,52w,445.05,440.48,1.04,9400.7,26-01-2026,498.61,140,7
SHARDACROP,NSE:SHARDACROP,WEEKLY,52w,913.85,899.14,1.64,8399.6,10-11-2025,751.65,217,1
GILLETTE,NSE:GILLETTE,WEEKLY,52w,7856.0,7760.61,1.23,7968.4,12-01-2026,7602.18,154,3
GPPL,NSE:GPPL,WEEKLY,104w,154.61,152.12,1.64,6647.6,03-03-2025,115.62,469,4
ABFRL,NSE:ABFRL,WEEKLY,156w,61.72,60.7,1.68,6507.5,26-01-2026,59.8,140,5
ABFRL,NSE:ABFRL,WEEKLY,260w,61.72,60.7,1.68,6507.5,26-01-2026,59.8,140,5
ABFRL,NSE:ABFRL,WEEKLY,208w,61.72,60.7,1.68,6507.5,26-01-2026,59.8,140,5
ABFRL,NSE:ABFRL,WEEKLY,104w,61.72,60.7,1.68,6507.5,26-01-2026,59.8,140,5
ABFRL,NSE:ABFRL,WEEKLY,52w,61.72,60.7,1.68,6507.5,26-01-2026,59.8,140,5
PVRINOX,NSE:PVRINOX,WEEKLY,52w,960.7,959.78,0.1,6497.3,26-01-2026,919.0,140,4
ABBOTINDIA,NSE:ABBOTINDIA,WEEKLY,52w,25955.0,25870.22,0.33,6365.5,26-01-2026,26430.0,140,4
TI,NSE:TI,WEEKLY,52w,428.9,426.53,0.56,5843.5,07-07-2025,336.27,343,3
CRISIL,NSE:CRISIL,WEEKLY,52w,4091.5,4090.3,0.03,5448.5,29-12-2025,4121.01,168,7
MOIL,NSE:MOIL,WEEKLY,52w,296.3,292.8,1.19,5293.8,08-12-2025,305.47,189,8
SUNTECK,NSE:SUNTECK,WEEKLY,52w,316.0,315.06,0.3,5112.1,26-01-2026,361.2,140,6
BLACKBUCK,NSE:BLACKBUCK,WEEKLY,52w,548.5,546.81,0.31,5085.6,23-06-2025,426.35,357,5
MONARCH,NSE:MONARCH,WEEKLY,104w,344.45,338.1,1.88,4650.2,01-07-2024,253.68,714,44
PRINCEPIPE,NSE:PRINCEPIPE,WEEKLY,104w,282.55,281.08,0.52,4444.6,07-04-2025,228.7,434,30
PRINCEPIPE,NSE:PRINCEPIPE,WEEKLY,156w,282.55,281.08,0.52,4444.6,07-04-2025,228.7,434,30
PRINCEPIPE,NSE:PRINCEPIPE,WEEKLY,208w,282.55,281.08,0.52,4444.6,07-04-2025,228.7,434,30
